Time[ms];"IL.FB([Axis1] Current feedback)[Arms]";"VL.CMD([Axis1] Velocity command)[mm/s]";"VL.FB([Axis1] Velocity feedback)[mm/s]";"PL.ERR([Axis1] Position error)[mm]";"PL.FB([Axis1] Position feedback)[mm]";"IL.BUSFF([Axis1] External feed-forward)[Arms]";;;;#ParentName;#Name;#Type;#Value
90,1875;-0,161;1,069;0,166;0,213;-0,014;0;;;;;;;
91;-0,122;1,081;0,985;0,216;-0,016;0;;;;;;;
91,8125;-0,174;1,09;0,501;0,218;-0,014;0;;;;;;;
92,625;-0,132;1,081;1,675;0,216;-0,015;0;;;;;;;
93,4375;-0,14;1,079;-0,398;0,215;-0,016;0;;;;;;;
94,25;-0,173;1,062;2,357;0,212;-0,013;0;;;;;;;
95,0625;-0,119;1,068;-0,991;0,213;-0,015;0;;;;;;;
95,875;-0,151;1,067;-2,371;0,213;-0,016;0;;;;;;;
96,6875;-0,171;1,072;1,396;0,214;-0,012;0;;;;;;;
97,5;-0,117;1,08;-2,601;0,216;-0,016;0;;;;;;;
98,3125;-0,148;1,074;0,254;0,214;-0,014;0;;;;;;;
99,125;-0,152;1,082;1,859;0,216;-0,013;0;;;;;;;
99,9375;-0,117;1,067;0,287;0,213;-0,016;0;;;;;;;
100,75;-0,156;1,064;2,08;0,212;-0,013;0;;;;;;;
101,5625;-0,144;1,079;1,177;0,215;-0,013;0;;;;;;;
102,375;-0,108;1,06;1,657;0,212;-0,014;0;;;;;;;
103,1875;-0,159;1,081;-1,695;0,216;-0,011;0;;;;;;;
104;-0,136;1,064;2,305;0,212;-0,01;0;;;;;;;
104,8125;-0,107;1,057;0,039;0,211;-0,014;0;;;;;;;
105,625;-0,146;1,066;0,87;0,213;-0,01;0;;;;;;;
106,4375;-0,123;1,058;0,103;0,211;-0,013;0;;;;;;;
107,25;-0,117;1,068;-2,197;0,213;-0,013;0;;;;;;;
108,0625;-0,16;1,067;-0,096;0,213;-0,01;0;;;;;;;
108,875;-0,1;1,06;1,412;0,212;-0,012;0;;;;;;;
109,6875;-0,13;1,063;-0,496;0,212;-0,011;0;;;;;;;
110,5;-0,159;1,05;-0,012;0,21;-0,008;0;;;;;;;
111,3125;-0,1;1,048;0,157;0,209;-0,013;0;;;;;;;
112,125;-0,125;1,049;1,524;0,209;-0,01;0;;;;;;;
112,9375;-0,151;1,04;0,804;0,208;-0,008;0;;;;;;;
113,75;-0,102;1,044;1,141;0,208;-0,009;0;;;;;;;
114,5625;-0,14;1,034;1,791;0,206;-0,006;0;;;;;;;
115,375;-0,127;1,04;-0,57;0,208;-0,005;0;;;;;;;
116,1875;-0,089;1,028;2,362;0,205;-0,008;0;;;;;;;
117;-0,151;1,025;1,865;0,205;-0,004;0;;;;;;;
