Time[ms];"IL.FB([Axis1] Current feedback)[Arms]";"VL.CMD([Axis1] Velocity command)[mm/s]";"VL.FB([Axis1] Velocity feedback)[mm/s]";"PL.ERR([Axis1] Position error)[mm]";"PL.FB([Axis1] Position feedback)[mm]";"IL.BUSFF([Axis1] External feed-forward)[Arms]";;;;#ParentName;#Name;#Type;#Value
80;-1,43;-262,168;-303,863;-0,832;9,092;0;;;;;;;
80,625;-1,381;-262,006;-318,466;-0,8;8,893;0;;;;;;;
81,25;-1,202;-261,737;-321,84;-0,746;8,691;0;;;;;;;
81,875;-1,079;-261,556;-316,051;-0,71;8,495;0;;;;;;;
82,5;-0,97;-261,361;-294,251;-0,671;8,312;0;;;;;;;
83,125;-0,9;-261,304;-265,582;-0,66;8,145;0;;;;;;;
83,75;-1,04;-261,322;-235,833;-0,663;7,995;0;;;;;;;
84,375;-1,176;-261,378;-222,635;-0,674;7,856;0;;;;;;;
85;-1,396;-261,518;-210,88;-0,702;7,723;0;;;;;;;
85,625;-1,576;-261,612;-212,147;-0,721;7,591;0;;;;;;;
86,25;-1,702;-261,741;-219,006;-0,747;7,455;0;;;;;;;
86,875;-1,796;-261,801;-228,84;-0,759;7,312;0;;;;;;;
87,5;-1,797;-261,85;-240,004;-0,769;7,165;0;;;;;;;
88,125;-1,812;-261,871;-250,608;-0,773;7,005;0;;;;;;;
88,75;-1,752;-261,8;-272,553;-0,759;6,838;0;;;;;;;
89,375;-1,618;-261,744;-276,366;-0,748;6,664;0;;;;;;;
90;-1,509;-261,641;-273,204;-0,727;6,494;0;;;;;;;
90,625;-1,415;-258,964;-263,802;-0,718;6,33;0;;;;;;;
91,25;-1,382;-254,609;-259,851;-0,708;6,164;0;;;;;;;
91,875;-1,411;-251,656;-266,91;-0,691;6;0;;;;;;;
92,5;-1,398;-247,274;-261,145;-0,676;5,831;0;;;;;;;
93,125;-1,417;-244,338;-252,53;-0,662;5,676;0;;;;;;;
93,75;-1,382;-239,964;-250,438;-0,649;5,518;0;;;;;;;
94,375;-1,424;-237,033;-251,18;-0,636;5,362;0;;;;;;;
95;-1,394;-232,645;-247,462;-0,619;5,208;0;;;;;;;
95,625;-1,317;-229,704;-251,012;-0,605;5,048;0;;;;;;;
96,25;-1,275;-225,257;-250,607;-0,577;4,894;0;;;;;;;
96,875;-1,167;-222,312;-245,389;-0,561;4,739;0;;;;;;;
97,5;-1,175;-217,851;-251,709;-0,53;4,584;0;;;;;;;
98,125;-1,081;-214,863;-259,892;-0,506;4,421;0;;;;;;;
98,75;-1,03;-210,324;-267,376;-0,459;4,254;0;;;;;;;
99,375;-0,922;-207,273;-273,913;-0,423;4,084;0;;;;;;;
100;-0,78;-202,677;-272,2;-0,365;3,913;0;;;;;;;
100,625;-0,712;-199,618;-264,081;-0,327;3,748;0;;;;;;;
101,25;-0,585;-195,069;-248,439;-0,278;3,591;0;;;;;;;
101,875;-0,587;-192,067;-231,443;-0,252;3,445;0;;;;;;;
102,5;-0,542;-187,627;-211,153;-0,224;3,312;0;;;;;;;
103,125;-0,57;-184,699;-196,11;-0,213;3,191;0;;;;;;;
103,75;-0,625;-180,362;-179,572;-0,206;3,077;0;;;;;;;
104,375;-0,68;-177,485;-169,42;-0,204;2,971;0;;;;;;;
105;-0,801;-173,208;-157,641;-0,21;2,869;0;;;;;;;
105,625;-0,839;-170,355;-155,212;-0,213;2,775;0;;;;;;;
106,25;-0,933;-166,092;-152,042;-0,221;2,678;0;;;;;;;
106,875;-0,966;-163,236;-149,724;-0,224;2,586;0;;;;;;;
107,5;-1,001;-158,956;-147,973;-0,229;2,496;0;;;;;;;
108,125;-1,02;-156,107;-142,738;-0,233;2,403;0;;;;;;;
108,75;-1,027;-151,802;-146,013;-0,233;2,314;0;;;;;;;
109,375;-1,044;-148,946;-141,526;-0,235;2,222;0;;;;;;;
110;-1,045;-144,626;-139,863;-0,232;2,136;0;;;;;;;
110,625;-1,039;-141,746;-142,243;-0,23;2,047;0;;;;;;;
111,25;-1,024;-137,418;-139,915;-0,225;1,959;0;;;;;;;
111,875;-0,986;-134,519;-137,358;-0,219;1,876;0;;;;;;;
112,5;-0,951;-130,193;-133,58;-0,215;1,786;0;;;;;;;
113,125;-0,945;-127,293;-130,612;-0,209;1,708;0;;;;;;;
113,75;-0,911;-122,967;-126,596;-0,204;1,627;0;;;;;;;
114,375;-0,899;-120,079;-120,134;-0,2;1,553;0;;;;;;;
115;-0,902;-115,763;-115,503;-0,198;1,481;0;;;;;;;
115,625;-0,884;-112,888;-108,442;-0,197;1,41;0;;;;;;;
116,25;-0,925;-108,584;-104,694;-0,197;1,349;0;;;;;;;
116,875;-0,926;-105,726;-99,237;-0,199;1,283;0;;;;;;;
117,5;-0,971;-101,404;-96,733;-0,195;1,226;0;;;;;;;
118,125;-0,964;-98,543;-96,841;-0,197;1,162;0;;;;;;;
118,75;-0,978;-94,209;-94,468;-0,191;1,105;0;;;;;;;
119,375;-0,971;-91,329;-93,704;-0,189;1,047;0;;;;;;;
120;-0,945;-86,996;-93,798;-0,183;0,987;0;;;;;;;
