Time[ms];"IL.FB([Axis1] Current feedback)[Arms]";"VL.CMD([Axis1] Velocity command)[mm/s]";"VL.FB([Axis1] Velocity feedback)[mm/s]";"PL.ERR([Axis1] Position error)[mm]";"PL.FB([Axis1] Position feedback)[mm]";"IL.BUSFF([Axis1] External feed-forward)[Arms]";;;;#ParentName;#Name;#Type;#Value
55;1,121;182,193;135,081;0,607;2,324;0;;;;;;;
55,625;1,198;185,181;137,077;0,626;2,411;0;;;;;;;
56,25;1,233;189,672;136,502;0,657;2,494;0;;;;;;;
56,875;1,34;192,676;139,75;0,68;2,583;0;;;;;;;
57,5;1,393;197,159;146,321;0,71;2,671;0;;;;;;;
58,125;1,499;200,171;148,538;0,734;2,766;0;;;;;;;
58,75;1,559;204,653;153,533;0,764;2,861;0;;;;;;;
59,375;1,617;207,629;163,55;0,781;2,963;0;;;;;;;
60;1,655;212,086;167,952;0,806;3,068;0;;;;;;;
60,625;1,661;215,055;176,838;0,821;3,178;0;;;;;;;
61,25;1,734;219,482;184,808;0,84;3,294;0;;;;;;;
61,875;1,714;222,431;188,129;0,852;3,412;0;;;;;;;
62,5;1,787;226,845;196,341;0,868;3,534;0;;;;;;;
63,125;1,776;229,789;199,054;0,878;3,658;0;;;;;;;
63,75;1,79;234,194;201,98;0,892;3,784;0;;;;;;;
64,375;1,779;237,137;202,283;0,903;3,91;0;;;;;;;
65;1,756;241,574;202,27;0,924;4,037;0;;;;;;;
65,625;1,859;244,54;201,492;0,939;4,162;0;;;;;;;
66,25;1,881;248,992;204,166;0,962;4,291;0;;;;;;;
66,875;2,016;251,967;207,036;0,979;4,422;0;;;;;;;
67,5;2,047;256,421;211,971;1,003;4,555;0;;;;;;;
68,125;2,123;259,37;221,138;1,015;4,693;0;;;;;;;
68,75;2,163;263,159;234,065;1,03;4,838;0;;;;;;;
69,375;2,136;263,191;242,158;1,036;4,991;0;;;;;;;
70;2,193;263,171;255,917;1,032;5,149;0;;;;;;;
70,625;2,1;263,157;262,796;1,03;5,316;0;;;;;;;
71,25;2,038;263,079;270,275;1,014;5,482;0;;;;;;;
71,875;1,898;262,994;292,067;0,997;5,665;0;;;;;;;
72,5;1,774;262,821;295,085;0,962;5,849;0;;;;;;;
73,125;1,689;262,728;286,031;0,944;6,025;0;;;;;;;
73,75;1,638;262,625;275,861;0,923;6,201;0;;;;;;;
74,375;1,686;262,576;263,997;0,914;6,362;0;;;;;;;
75;1,744;262,565;255,336;0,911;6,524;0;;;;;;;
75,625;1,855;262,558;244,06;0,91;6,677;0;;;;;;;
76,25;1,948;262,591;241,586;0,917;6,827;0;;;;;;;
76,875;1,982;262,626;235,994;0,924;6,978;0;;;;;;;
77,5;2,012;262,614;259,466;0,921;7,136;0;;;;;;;
78,125;1,974;262,587;267,238;0,916;7,304;0;;;;;;;
78,75;1,905;262,498;273,684;0,898;7,474;0;;;;;;;
79,375;1,858;262,432;282,361;0,885;7,652;0;;;;;;;
80;1,768;256,737;300;0,846;7,838;0;;;;;;;
80,625;1,64;253,702;315,149;0,813;8,034;0;;;;;;;
81,25;1,493;249,093;322,819;0,753;8,237;0;;;;;;;
