Time[ms];"IL.FB([Axis1] Current feedback)[Arms]";"VL.CMD([Axis1] Velocity command)[mm/s]";"VL.FB([Axis1] Velocity feedback)[mm/s]";"PL.ERR([Axis1] Position error)[mm]";"PL.FB([Axis1] Position feedback)[mm]";"IL.BUSFF([Axis1] External feed-forward)[Arms]";;;;#ParentName;#Name;#Type;#Value
84,375;0,195;-0,923;-1,34;-0,184;14,185;0;;;;;;;
85;0,243;-0,925;-0,187;-0,185;14,184;0;;;;;;;
85,625;0,196;-0,932;0,783;-0,186;14,185;0;;;;;;;
86,25;0,222;-0,926;-0,125;-0,185;14,185;0;;;;;;;
86,875;0,205;-0,93;0,608;-0,186;14,186;0;;;;;;;
87,5;0,179;-0,929;0,126;-0,185;14,187;0;;;;;;;
88,125;0,232;-0,93;-0,646;-0,186;14,184;0;;;;;;;
88,75;0,179;-0,933;0,232;-0,186;14,187;0;;;;;;;
89,375;0,235;-0,925;-1,155;-0,185;14,185;0;;;;;;;
90;0,173;-0,932;1,318;-0,186;14,186;0;;;;;;;
90,625;0,209;-0,929;-0,073;-0,185;14,186;0;;;;;;;
91,25;0,191;-0,93;0,357;-0,186;14,186;0;;;;;;;
91,875;0,183;-0,93;0,469;-0,186;14,186;0;;;;;;;
92,5;0,224;-0,926;0,576;-0,185;14,185;0;;;;;;;
93,125;0,18;-0,928;-1,593;-0,185;14,186;0;;;;;;;
93,75;0,226;-0,927;0,563;-0,185;14,185;0;;;;;;;
94,375;0,181;-0,936;1,783;-0,187;14,185;0;;;;;;;
95;0,199;-0,928;0,67;-0,185;14,186;0;;;;;;;
95,625;0,203;-0,931;-0,75;-0,186;14,185;0;;;;;;;
96,25;0,168;-0,925;-1,745;-0,185;14,186;0;;;;;;;
96,875;0,218;-0,934;-0,27;-0,186;14,185;0;;;;;;;
97,5;0,154;-0,933;-0,584;-0,186;14,186;0;;;;;;;
98,125;0,221;-0,928;0,177;-0,185;14,186;0;;;;;;;
98,75;0,173;-0,936;0,539;-0,187;14,185;0;;;;;;;
99,375;0,194;-0,929;1,472;-0,185;14,186;0;;;;;;;
100;0,205;-0,931;0,464;-0,186;14,186;0;;;;;;;
100,625;0,16;-0,928;0,493;-0,185;14,187;0;;;;;;;
101,25;0,224;-0,928;-1,711;-0,185;14,184;0;;;;;;;
101,875;0,149;-0,925;0,763;-0,185;14,186;0;;;;;;;
102,5;0,213;-0,93;-0,274;-0,186;14,186;0;;;;;;;
103,125;0,182;-0,932;0,345;-0,186;14,185;0;;;;;;;
103,75;0,18;-0,928;-1,094;-0,185;14,186;0;;;;;;;
104,375;0,214;-0,936;1,5;-0,187;14,185;0;;;;;;;
105;0,16;-0,932;0,49;-0,186;14,187;0;;;;;;;
105,625;0,214;-0,934;-0,138;-0,186;14,185;0;;;;;;;
106,25;0,143;-0,933;2,126;-0,186;14,187;0;;;;;;;
106,875;0,199;-0,927;0,078;-0,185;14,186;0;;;;;;;
107,5;0,171;-0,929;-0,37;-0,185;14,185;0;;;;;;;
108,125;0,169;-0,922;-2,56;-0,184;14,185;0;;;;;;;
108,75;0,201;-0,928;1,85;-0,185;14,185;0;;;;;;;
109,375;0,146;-0,925;-1,02;-0,185;14,186;0;;;;;;;
110;0,205;-0,927;1,688;-0,185;14,185;0;;;;;;;
110,625;0,146;-0,926;-0,457;-0,185;14,186;0;;;;;;;
111,25;0,188;-0,927;1,61;-0,185;14,186;0;;;;;;;
111,875;0,177;-0,935;-1,139;-0,187;14,185;0;;;;;;;
112,5;0,152;-0,933;-0,871;-0,186;14,186;0;;;;;;;
113,125;0,19;-0,935;0,71;-0,187;14,185;0;;;;;;;
113,75;0,138;-0,935;0,323;-0,187;14,187;0;;;;;;;
114,375;0,196;-0,933;0,606;-0,186;14,185;0;;;;;;;
115;0,149;-0,934;1,021;-0,186;14,186;0;;;;;;;
115,625;0,173;-0,93;0,058;-0,186;14,186;0;;;;;;;
116,25;0,165;-0,932;-0,237;-0,186;14,187;0;;;;;;;
116,875;0,135;-0,927;-1,734;-0,185;14,186;0;;;;;;;
117,5;0,19;-0,93;-0,702;-0,186;14,185;0;;;;;;;
118,125;0,131;-0,931;-0,474;-0,186;14,187;0;;;;;;;
118,75;0,192;-0,929;-0,819;-0,185;14,186;0;;;;;;;
119,375;0,142;-0,936;0,27;-0,187;14,186;0;;;;;;;
120;0,167;-0,93;-0,361;-0,186;14,186;0;;;;;;;
120,625;0,168;-0,936;-0,212;-0,187;14,185;0;;;;;;;
121,25;0,131;-0,933;-0,629;-0,186;14,187;0;;;;;;;
121,875;0,183;-0,932;-0,194;-0,186;14,185;0;;;;;;;
122,5;0,133;-0,929;-1,545;-0,186;14,186;0;;;;;;;
123,125;0,187;-0,922;-1,951;-0,184;14,184;0;;;;;;;
123,75;0,143;-0,925;-0,003;-0,185;14,184;0;;;;;;;
124,375;0,161;-0,894;-8,512;-0,178;14,178;0;;;;;;;
125;0,183;-0,851;-16,409;-0,17;14,167;0;;;;;;;
125,625;0,168;-0,782;-20,46;-0,156;14,156;0;;;;;;;
126,25;0,243;-0,767;-4,245;-0,153;14,152;0;;;;;;;
126,875;0,186;-0,734;-12,14;-0,147;14,147;0;;;;;;;
127,5;0,25;-0,702;-5,776;-0,14;14,143;0;;;;;;;
128,125;0,226;-0,705;-3,781;-0,141;14,141;0;;;;;;;
128,75;0,222;-0,71;1,469;-0,142;14,141;0;;;;;;;
129,375;0,244;-0,702;0,663;-0,14;14,139;0;;;;;;;
130;0,201;-0,703;-0,637;-0,14;14,141;0;;;;;;;
130,625;0,247;-0,696;-1,086;-0,139;14,139;0;;;;;;;
131,25;0,198;-0,705;0,097;-0,141;14,14;0;;;;;;;
131,875;0,233;-0,702;1,278;-0,14;14,14;0;;;;;;;
132,5;0,213;-0,702;-0,495;-0,14;14,14;0;;;;;;;
133,125;0,203;-0,7;0,481;-0,14;14,14;0;;;;;;;
133,75;0,24;-0,703;1,322;-0,14;14,139;0;;;;;;;
134,375;0,188;-0,703;0,636;-0,14;14,141;0;;;;;;;
135;0,25;-0,696;-2,112;-0,139;14,139;0;;;;;;;
135,625;0,182;-0,705;0,568;-0,141;14,141;0;;;;;;;
136,25;0,221;-0,699;-0,971;-0,14;14,14;0;;;;;;;
136,875;0,205;-0,705;1,142;-0,141;14,14;0;;;;;;;
137,5;0,187;-0,704;-0,376;-0,141;14,141;0;;;;;;;
138,125;0,224;-0,705;0,555;-0,141;14,14;0;;;;;;;
138,75;0,179;-0,709;0,781;-0,142;14,141;0;;;;;;;
139,375;0,236;-0,705;-1,135;-0,141;14,14;0;;;;;;;
140;0,18;-0,704;-1,506;-0,141;14,14;0;;;;;;;
140,625;0,211;-0,701;0,962;-0,14;14,141;0;;;;;;;
141,25;0,21;-0,701;0,004;-0,14;14,139;0;;;;;;;
141,875;0,18;-0,697;-0,133;-0,139;14,141;0;;;;;;;
142,5;0,237;-0,693;-0,57;-0,138;14,139;0;;;;;;;
143,125;0,179;-0,697;-0,987;-0,139;14,14;0;;;;;;;
143,75;0,232;-0,699;-0,646;-0,14;14,139;0;;;;;;;
144,375;0,198;-0,702;-0,433;-0,14;14,139;0;;;;;;;
145;0,207;-0,704;1,435;-0,14;14,14;0;;;;;;;
145,625;0,207;-0,702;-0,267;-0,14;14,14;0;;;;;;;
146,25;0,172;-0,701;0,809;-0,14;14,141;0;;;;;;;
146,875;0,233;-0,706;0,969;-0,141;14,14;0;;;;;;;
147,5;0,16;-0,707;0,875;-0,141;14,142;0;;;;;;;
148,125;0,22;-0,704;-0,739;-0,14;14,14;0;;;;;;;
148,75;0,184;-0,704;0,032;-0,14;14,14;0;;;;;;;
149,375;0,19;-0,705;1,392;-0,141;14,141;0;;;;;;;
150;0,216;-0,699;-1,142;-0,139;14,139;0;;;;;;;
150,625;0,169;-0,701;1,135;-0,14;14,141;0;;;;;;;
151,25;0,217;-0,7;-0,632;-0,14;14,14;0;;;;;;;
151,875;0,147;-3,602;1,011;-0,142;14,141;0;;;;;;;
152,5;0,183;-6,504;-1,122;-0,145;14,141;0;;;;;;;
153,125;0,146;-10,875;-0,178;-0,152;14,141;0;;;;;;;
153,75;0,118;-13,794;0,963;-0,158;14,141;0;;;;;;;
154,375;0,134;-18,192;2,158;-0,171;14,141;0;;;;;;;
155;0,066;-21,119;-2,953;-0,178;14,14;0;;;;;;;
155,625;0,107;-25,497;-10,454;-0,187;14,133;0;;;;;;;
156,25;0,043;-28,421;-16,04;-0,194;14,123;0;;;;;;;
156,875;0,053;-32,767;-28,347;-0,196;14,106;0;;;;;;;
157,5;0,041;-35,641;-41,54;-0,193;14,079;0;;;;;;;
158,125;0,016;-39,945;-44,029;-0,187;14,052;0;;;;;;;
158,75;0,069;-42,888;-12,07;-0,197;14,041;0;;;;;;;
159,375;-0,012;-47,314;-18,949;-0,216;14,03;0;;;;;;;
160;0,004;-50,275;-17,086;-0,23;14,018;0;;;;;;;
160,625;-0,078;-54,732;-17,644;-0,254;14,007;0;;;;;;;
161,25;-0,08;-57,698;-21,595;-0,27;13,993;0;;;;;;;
161,875;-0,114;-62,171;-23,001;-0,297;13,978;0;;;;;;;
162,5;-0,179;-65,139;-27,346;-0,313;13,961;0;;;;;;;
163,125;-0,191;-69,603;-30,265;-0,339;13,941;0;;;;;;;
163,75;-0,337;-72,574;-36,895;-0,355;13,919;0;;;;;;;
164,375;-0,345;-77,006;-49,308;-0,375;13,888;0;;;;;;;
165;-0,459;-79,943;-60,212;-0,384;13,853;0;;;;;;;
165,625;-0,457;-84,308;-71,793;-0,39;13,807;0;;;;;;;
166,25;-0,453;-87,204;-81,176;-0,391;13,756;0;;;;;;;
166,875;-0,465;-91,527;-88,874;-0,389;13,7;0;;;;;;;
167,5;-0,397;-94,407;-94,694;-0,387;13,641;0;;;;;;;
168,125;-0,435;-98,734;-94,234;-0,386;13,583;0;;;;;;;
168,75;-0,384;-101,625;-95,351;-0,386;13,523;0;;;;;;;
169,375;-0,427;-105,984;-91,977;-0,391;13,466;0;;;;;;;
170;-0,459;-108,899;-92,757;-0,396;13,407;0;;;;;;;
170,625;-0,464;-113,289;-90,862;-0,407;13,351;0;;;;;;;
