Time[ms];"IL.FB([Axis1] Current feedback)[Arms]";"VL.CMD([Axis1] Velocity command)[mm/s]";"VL.FB([Axis1] Velocity feedback)[mm/s]";"PL.ERR([Axis1] Position error)[mm]";"PL.FB([Axis1] Position feedback)[mm]";"IL.BUSFF([Axis1] External feed-forward)[Arms]";;;;#ParentName;#Name;#Type;#Value
100,75;-0,968;-103,585;-107,825;-0,631;1,644;0;;;;;;;
101,5625;-0,933;-97,811;-102,851;-0,624;1,559;0;;;;;;;
102,375;-0,944;-93,468;-95,917;-0,616;1,486;0;;;;;;;
103,1875;-0,951;-89,137;-88,608;-0,61;1,411;0;;;;;;;
104;-0,959;-84,828;-85,99;-0,61;1,34;0;;;;;;;
104,8125;-0,972;-79,033;-81,788;-0,598;1,276;0;;;;;;;
105,625;-0,956;-74,709;-81,269;-0,594;1,207;0;;;;;;;
106,4375;-0,962;-70,363;-76,601;-0,586;1,146;0;;;;;;;
107,25;-0,932;-65,992;-74,211;-0,573;1,086;0;;;;;;;
108,0625;-0,883;-60,199;-70,893;-0,562;1,024;0;;;;;;;
108,875;-0,902;-55,817;-66,74;-0,546;0,972;0;;;;;;;
109,6875;-0,874;-51,454;-63,519;-0,534;0,919;0;;;;;;;
110,5;-0,813;-47,092;-62,567;-0,523;0,864;0;;;;;;;
111,3125;-0,82;-41,238;-58,816;-0,5;0,819;0;;;;;;;
112,125;-0,772;-36,867;-53,716;-0,486;0,774;0;;;;;;;
112,9375;-0,717;-32,467;-52,308;-0,467;0,73;0;;;;;;;
113,75;-0,73;-28,076;-48,173;-0,45;0,695;0;;;;;;;
114,5625;-0,673;-22,221;-45,288;-0,426;0,656;0;;;;;;;
115,375;-0,621;-17,828;-39,769;-0,409;0,623;0;;;;;;;
116,1875;-0,64;-13,448;-36,142;-0,393;0,597;0;;;;;;;
117;-0,56;-9,048;-33,095;-0,374;0,568;0;;;;;;;
117,8125;-0,536;-3,179;-29,138;-0,348;0,545;0;;;;;;;
118,625;-0,454;-1,641;-25,563;-0,327;0,527;0;;;;;;;
119,4375;-0,383;-1,564;-14,068;-0,312;0,512;0;;;;;;;
120,25;-0,398;-1,532;-10,702;-0,306;0,502;0;;;;;;;
121,0625;-0,414;-1,47;-8,547;-0,294;0,496;0;;;;;;;
121,875;-0,399;-1,454;-7,875;-0,29;0,487;0;;;;;;;
122,6875;-0,43;-1,431;-7,871;-0,286;0,483;0;;;;;;;
123,5;-0,416;-1,388;-4,926;-0,277;0,477;0;;;;;;;
124,3125;-0,378;-1,367;-5,614;-0,273;0,469;0;;;;;;;
125,125;-0,425;-1,323;-7,382;-0,264;0,467;0;;;;;;;
125,9375;-0,409;-1,307;-6,238;-0,261;0,46;0;;;;;;;
126,75;-0,368;-1,3;-5,105;-0,259;0,455;0;;;;;;;
127,5625;-0,401;-1,254;-6,428;-0,25;0,453;0;;;;;;;
128,375;-0,378;-1,245;-8,627;-0,249;0,447;0;;;;;;;
129,1875;-0,371;-1,223;-5,729;-0,244;0,442;0;;;;;;;
130;-0,401;-1,203;-1,844;-0,24;0,443;0;;;;;;;
130,8125;-0,363;-1,181;-6,742;-0,236;0,435;0;;;;;;;
